news_headline,news_article,news_category,full_text,clean_text
Hope everyone is safe amid coronavirus pandemic: Priyanka-Nick in video,"Nick Jonas on Saturday shared a video, featuring his wife Priyanka Chopra, on Instagram to send ""positive vibes"" to everyone amid the ""unsure time"" of the coronavirus pandemic. ""Hope you're doing okay,"" Nick said in the video. ""And let's just take care of each other and I hope everyone is safe out there. Just lots of love,"" Priyanka added.",entertainment,"Hope everyone is safe amid coronavirus pandemic: Priyanka-Nick in video. Nick Jonas on Saturday shared a video, featuring his wife Priyanka Chopra, on Instagram to send ""positive vibes"" to everyone amid the ""unsure time"" of the coronavirus pandemic. ""Hope you're doing okay,"" Nick said in the video. ""And let's just take care of each other and I hope everyone is safe out there. Just lots of love,"" Priyanka added.",hope everyone safe amid coronavirus pandemic priyanka nick video nick jonas saturday share video feature wife priyanka chopra instagram send positive vibe everyone amid unsure time coronavirus pandemic hope okay nick say video let us take care hope everyone safe lot love priyanka add
"Juhi shares video of dolphins swimming in Mumbai, says 'shutdown is not so bad'","Juhi Chawla tweeted a video wherein some dolphins can be seen swimming in Mumbai. ""The air in Mumbai is so nice, light and fresh!!! And it seems dolphins were sighted just off the shore near Breach Candy Club!!! This shutdown of cities is not so bad after all,"" she wrote. Meanwhile, 271 people have been infected with coronavirus in India. ",entertainment,"Juhi shares video of dolphins swimming in Mumbai, says 'shutdown is not so bad'. Juhi Chawla tweeted a video wherein some dolphins can be seen swimming in Mumbai. ""The air in Mumbai is so nice, light and fresh!!! And it seems dolphins were sighted just off the shore near Breach Candy Club!!! This shutdown of cities is not so bad after all,"" she wrote. Meanwhile, 271 people have been infected with coronavirus in India. ",juhi share video dolphin swim mumbai say shutdown not bad juhi chawla tweet video wherein dolphin see swim mumbai air mumbai nice light fresh seem dolphin sight shore near breach candy club shutdown city not bad write meanwhile people infect coronavirus india
Director Steven Spielberg told me to direct more films: Vin Diesel,"Vin Diesel has revealed that he was asked to direct more films by filmmaker Steven Spielberg when they met. ""He had said to me...'You have not directed enough. That's a crime of cinema and you must get back in the directing chair',"" Vin recalled. The actor, who has directed a few short films, added he wants to return to direction.",entertainment,"Director Steven Spielberg told me to direct more films: Vin Diesel. Vin Diesel has revealed that he was asked to direct more films by filmmaker Steven Spielberg when they met. ""He had said to me...'You have not directed enough. That's a crime of cinema and you must get back in the directing chair',"" Vin recalled. The actor, who has directed a few short films, added he wants to return to direction.",director steven spielberg tell direct film vin diesel vin diesel reveal ask direct film filmmaker steven spielberg meet say not direct enough crime cinema must get back direct chair vin recall actor direct short film add want return direction
Anupam Kher to self-quarantine amid COVID-19 fears after returning from US,"Anupam Kher, who returned from the US on Friday, said that he will exercise self-isolation as a precautionary measure amid coronavirus pandemic. ""I was tested at the airport and...was given a clean chit. But...I'll be...in self-isolation. We must,"" Kher said. The actor had been filming for 'New Amsterdam' in the US before the TV series halted production due to COVID-19.",entertainment,"Anupam Kher to self-quarantine amid COVID-19 fears after returning from US. Anupam Kher, who returned from the US on Friday, said that he will exercise self-isolation as a precautionary measure amid coronavirus pandemic. ""I was tested at the airport and...was given a clean chit. But...I'll be...in self-isolation. We must,"" Kher said. The actor had been filming for 'New Amsterdam' in the US before the TV series halted production due to COVID-19.",anupam kher self quarantine amid covid fear return us anupam kher return us friday say exercise self isolation precautionary measure amid coronavirus pandemic test airport give clean chit self isolation must kher say actor film new amsterdam us tv series halt production due covid
"Indirectly we tortured Nirbhaya's mother, family for 7 long years: Kangana","Talking about the hanging of Nirbhaya gangrape and murder case convicts, Kangana Ranaut said, ""It took seven...years for our judicial system to give verdict on a...case that shook the entire nation."" ""Indirectly we have tortured Nirbhaya's mother and the entire family for seven long years,"" she stated. Kangana added that there should be quick justice for such brutal crimes.",entertainment,"Indirectly we tortured Nirbhaya's mother, family for 7 long years: Kangana. Talking about the hanging of Nirbhaya gangrape and murder case convicts, Kangana Ranaut said, ""It took seven...years for our judicial system to give verdict on a...case that shook the entire nation."" ""Indirectly we have tortured Nirbhaya's mother and the entire family for seven long years,"" she stated. Kangana added that there should be quick justice for such brutal crimes.",indirectly torture nirbhayas mother family long year kangana talk hanging nirbhaya gangrape murder case convict kangana ranaut say take seven year judicial system give verdict case shake entire nation indirectly torture nirbhayas mother entire family seven long year state kangana add quick justice brutal crime
It was irresponsible that Kanika Kapoor avoided self-quarantine: Bappi Lahiri,"Music composer Bappi Lahiri has said that coronavirus-infected Kanika Kapoor should not have travelled back from London. ""That's the first mistake she made,"" Bappi said before adding that ""it was irresponsible on her part"" that Kanika avoided self-quarantine. ""I'm an ardent devotee of Lord Ganesh. I will pray for her quick recovery. She will get well soon,"" Bappi added.",entertainment,"It was irresponsible that Kanika Kapoor avoided self-quarantine: Bappi Lahiri. Music composer Bappi Lahiri has said that coronavirus-infected Kanika Kapoor should not have travelled back from London. ""That's the first mistake she made,"" Bappi said before adding that ""it was irresponsible on her part"" that Kanika avoided self-quarantine. ""I'm an ardent devotee of Lord Ganesh. I will pray for her quick recovery. She will get well soon,"" Bappi added.",irresponsible kanika kapoor avoid self quarantine bappi lahiri music composer bappi lahiri say coronavirus infect kanika kapoor not travel back london first mistake make bappi say add irresponsible part kanika avoid self quarantine ardent devotee lord ganesh pray quick recovery get well soon bappi add
"I would love to do 'Dhoom 2', 'Zindagi Na...' all over again: Hrithik","Hrithik Roshan has said he'd love to do films like 'Zindagi Na Milegi Dobara', 'War' and 'Dhoom 2' all over again. ""I think all...films that were either two-hero films or ensemble films are experiences which I cherish...most,"" he added. ""So...films, where...lot of actors came together as friends to make a film will be...films I'd do all over again,"" said Hrithik.",entertainment,"I would love to do 'Dhoom 2', 'Zindagi Na...' all over again: Hrithik. Hrithik Roshan has said he'd love to do films like 'Zindagi Na Milegi Dobara', 'War' and 'Dhoom 2' all over again. ""I think all...films that were either two-hero films or ensemble films are experiences which I cherish...most,"" he added. ""So...films, where...lot of actors came together as friends to make a film will be...films I'd do all over again,"" said Hrithik.",would love dhoom zindagi na hrithik hrithik roshan say would love film like zindagi na milegi dobara war dhoom think film either two hero film ensemble film experience cherish add film lot actor come together friend make film film would say hrithik
"UP Minister, 28 others who attended party with Kanika, test -ve for COVID-19","UP Health Minister Jai Pratap Singh and 28 others, who attended a party with singer Kanika Kapoor, have tested negative for coronavirus (COVID-19). Notably, Kanika has tested positive for COVID-19 and an FIR has been filed against her for disobeying government health advisory. Kanika, who recently returned to Lucknow from London, allegedly attended parties after her return.",entertainment,"UP Minister, 28 others who attended party with Kanika, test -ve for COVID-19. UP Health Minister Jai Pratap Singh and 28 others, who attended a party with singer Kanika Kapoor, have tested negative for coronavirus (COVID-19). Notably, Kanika has tested positive for COVID-19 and an FIR has been filed against her for disobeying government health advisory. Kanika, who recently returned to Lucknow from London, allegedly attended parties after her return.",minister attend party kanika test covid health minister jai pratap singh attend party singer kanika kapoor test negative coronavirus covid notably kanika test positive covid fir file disobey government health advisory kanika recently return lucknow london allegedly attend party return
I will clap and blow conch shells during 'Janata Curfew': Amitabh,"Amitabh Bachchan has said he'll join 'Janata Curfew' on Sunday and applaud those providing emergency services amid coronavirus pandemic. ""I'll clap, blow conch shells, and will pay my respect to those who are fighting all odds to ensure services for us even in these tough times,"" he wrote on Twitter. Meanwhile, 283 positive COVID-19 cases have been confirmed in India.",entertainment,"I will clap and blow conch shells during 'Janata Curfew': Amitabh. Amitabh Bachchan has said he'll join 'Janata Curfew' on Sunday and applaud those providing emergency services amid coronavirus pandemic. ""I'll clap, blow conch shells, and will pay my respect to those who are fighting all odds to ensure services for us even in these tough times,"" he wrote on Twitter. Meanwhile, 283 positive COVID-19 cases have been confirmed in India.",clap blow conch shell janata curfew amitabh amitabh bachchan say join janata curfew sunday applaud provide emergency service amid coronavirus pandemic clap blow conch shell pay respect fight odd ensure service us even tough time write twitter meanwhile positive covid case confirm india
'Baahubali' actor Prabhas self-quarantines after returning from abroad,"'Baahubali' actor Prabhas has decided to self-quarantine as a precautionary measure after he returned to India after shooting abroad. ""Hope you all are also taking the necessary precautions to be safe,"" he wrote on Instagram. Earlier, actors Anupam Kher and Shabana Azmi, who returned from New York and Budapest respectively, have decided to self-isolate amid coronavirus pandemic.",entertainment,"'Baahubali' actor Prabhas self-quarantines after returning from abroad. 'Baahubali' actor Prabhas has decided to self-quarantine as a precautionary measure after he returned to India after shooting abroad. ""Hope you all are also taking the necessary precautions to be safe,"" he wrote on Instagram. Earlier, actors Anupam Kher and Shabana Azmi, who returned from New York and Budapest respectively, have decided to self-isolate amid coronavirus pandemic.",baahubali actor prabha self quarantine return abroad baahubali actor prabha decide self quarantine precautionary measure return india shoot abroad hope also take necessary precaution safe write instagram earlier actor anupam kher shabana azmi return new york budap respectively decide self isolate amid coronavirus pandemic
"Samples of Kanika Kapoor's relatives, others sent for coronavirus testing","The samples of 35 people, including Kanika Kapoor's maternal uncle and his family members, have been sent to Lucknow for coronavirus testing. They were quarantined in a building in Uttar Pradesh's Kanpur after the singer disclosed that she is infected with the contagious virus. Kanika had visited her maternal uncle in Kanpur after she returned from London on March 11.",entertainment,"Samples of Kanika Kapoor's relatives, others sent for coronavirus testing. The samples of 35 people, including Kanika Kapoor's maternal uncle and his family members, have been sent to Lucknow for coronavirus testing. They were quarantined in a building in Uttar Pradesh's Kanpur after the singer disclosed that she is infected with the contagious virus. Kanika had visited her maternal uncle in Kanpur after she returned from London on March 11.",sample kanika kapoor relative send coronavirus testing sample people include kanika kapoors maternal uncle family member send lucknow coronavirus testing quarantine building uttar pradeshs kanpur singer disclose infect contagious virus kanika visit maternal uncle kanpur return london march
"Even after 25 yrs, fans can enjoy Karan Arjun with their families: Salman","Talking about his 1995 film 'Karan Arjun' which also featured Shah Rukh Khan, Salman Khan said it's a ""complete entertainment package"" and a special film. ""Even [after] 25 years...fans can sit with...families and enjoy it,"" he added. Salman further said he has ""many beautiful memories"" attached to the film, adding, ""It was...first time Shah Rukh and I came together on-screen.""",entertainment,"Even after 25 yrs, fans can enjoy Karan Arjun with their families: Salman. Talking about his 1995 film 'Karan Arjun' which also featured Shah Rukh Khan, Salman Khan said it's a ""complete entertainment package"" and a special film. ""Even [after] 25 years...fans can sit with...families and enjoy it,"" he added. Salman further said he has ""many beautiful memories"" attached to the film, adding, ""It was...first time Shah Rukh and I came together on-screen.""",even yrs fan enjoy karan arjun family salman talk film karan arjun also feature shah rukh khan salman khan say complete entertainment package special film even [ ] year fan sit family enjoy add salman say many beautiful memory attach film add first time shah rukh come together screen
Sonu Nigam to perform online concert during 'Janata Curfew' from Dubai,"Singer Sonu Nigam, who's in Dubai, has said he'll perform a live online concert at 8 pm (IST) from Dubai during 'Janata Curfew' to cheer his fans up. ""Not just...for Indians but [for] all...people worldwide...and they can live stream from my social media platforms,"" he added. Talking about his return to India, Sonu said he'll ""wait till things are normal"".",entertainment,"Sonu Nigam to perform online concert during 'Janata Curfew' from Dubai. Singer Sonu Nigam, who's in Dubai, has said he'll perform a live online concert at 8 pm (IST) from Dubai during 'Janata Curfew' to cheer his fans up. ""Not just...for Indians but [for] all...people worldwide...and they can live stream from my social media platforms,"" he added. Talking about his return to India, Sonu said he'll ""wait till things are normal"".",sonu nigam perform online concert janata curfew dubai singer sonu nigam dubai say perform live online concert pm ist dubai janata curfew cheer fan not indians [ ] people worldwide live stream social medium platform add talk return india sonu say wait till thing normal
Grammy Award-winning singer Kenny Rogers passes away aged 81,"American singer Kenny Rogers, aged 81, passed away on Friday from natural causes. The three-time Grammy Award-winning singer-songwriter passed away peacefully at home while being surrounded by his family. Due to the ongoing coronavirus pandemic, Kenny's life will be celebrated publicly with his friends and fans at a later date. However, the family will hold a small private funeral service.",entertainment,"Grammy Award-winning singer Kenny Rogers passes away aged 81. American singer Kenny Rogers, aged 81, passed away on Friday from natural causes. The three-time Grammy Award-winning singer-songwriter passed away peacefully at home while being surrounded by his family. Due to the ongoing coronavirus pandemic, Kenny's life will be celebrated publicly with his friends and fans at a later date. However, the family will hold a small private funeral service.",grammy award win singer kenny rogers pass away aged american singer kenny rogers age pass away friday natural cause three time grammy award win singer songwriter pass away peacefully home surround family due ongoing coronavirus pandemic kennys life celebrate publicly friend fan later date however family hold small private funeral service
Told them it's WWIII: Ali Fazal on how to keep parents indoors amid COVID-19,"Replying to British-Pakistani actor Riz Ahmed's tweet wherein he asked how to tell parents that they are grounded amid the coronavirus pandemic, actor Ali Fazal wrote, ""I told them it's [World War III]."" ""Promise them loads of grandkids when this is over,"" replied a user to Riz's tweet. ""Threaten by reducing TV time and no ice cream,"" another user suggested.",entertainment,"Told them it's WWIII: Ali Fazal on how to keep parents indoors amid COVID-19. Replying to British-Pakistani actor Riz Ahmed's tweet wherein he asked how to tell parents that they are grounded amid the coronavirus pandemic, actor Ali Fazal wrote, ""I told them it's [World War III]."" ""Promise them loads of grandkids when this is over,"" replied a user to Riz's tweet. ""Threaten by reducing TV time and no ice cream,"" another user suggested.",tell wwiii ali fazal keep parent indoor amid covid reply british pakistani actor riz ahmed tweet wherein ask tell parent ground amid coronavirus pandemic actor ali fazal write tell [ world war iii ] promise load grandkid reply user rizs tweet threaten reduce tv time no ice cream another user suggest
World Cup's highest scorer is nicknamed Marty Two Toes,"New Zealand's Martin Guptill, who smashed Cricket World Cup's highest individual score of 237*(163) against Windies on March 21, 2015, is nicknamed Marty Two Toes because he has just two toes on his left foot. Guptill's three toes were amputated after he met with a forklift accident aged 13. Guptill had hit 11 sixes and 24 fours during his knock.",sports,"World Cup's highest scorer is nicknamed Marty Two Toes. New Zealand's Martin Guptill, who smashed Cricket World Cup's highest individual score of 237*(163) against Windies on March 21, 2015, is nicknamed Marty Two Toes because he has just two toes on his left foot. Guptill's three toes were amputated after he met with a forklift accident aged 13. Guptill had hit 11 sixes and 24 fours during his knock.",world cup high scorer nickname marty two toe new zealands martin guptill smash cricket world cup high individual score windie march nickname marty two toe two toe left foot guptill three toe amputate meet forklift accident age guptill hit six four knock
"Kevin Pietersen shares message on coronavirus in Hindi, PM Modi responds","Ex-England captain Kevin Pietersen took to Twitter to share a message on awareness about coronavirus in Hindi. He wrote, ""Hum sab coronavirus ko harane mein ek saath hai...Yeh samay hai hosiyaar rahene ka."" Responding to him, PM Narendra Modi wrote, ""Explosive batsmen who've seen teams through crises have something to say to us...We too will come together to fight COVID-19."" ",sports,"Kevin Pietersen shares message on coronavirus in Hindi, PM Modi responds. Ex-England captain Kevin Pietersen took to Twitter to share a message on awareness about coronavirus in Hindi. He wrote, ""Hum sab coronavirus ko harane mein ek saath hai...Yeh samay hai hosiyaar rahene ka."" Responding to him, PM Narendra Modi wrote, ""Explosive batsmen who've seen teams through crises have something to say to us...We too will come together to fight COVID-19."" ",kevin pietersen share message coronavirus hindi pm modi respond ex england captain kevin pietersen take twitter share message awareness coronavirus hindi write hum sab coronavirus ko harane mein ek saath hai yeh samay hai hosiyaar rahene ka respond pm narendra modi write explosive batsman see team crisis something say us come together fight covid
"Back from Italy and Jordan, boxer Mary Kom breaks quarantine protocol","Boxer Mary Kom broke the 14-day quarantine protocol which has been put in place by the World Health Organization and the governments across the world amid the coronavirus pandemic. Kom had returned from Italy and Jordan on March 13 and was supposed to be in self-isolation. However, she attended breakfast hosted by President Ram Nath Kovind on March 18.",sports,"Back from Italy and Jordan, boxer Mary Kom breaks quarantine protocol. Boxer Mary Kom broke the 14-day quarantine protocol which has been put in place by the World Health Organization and the governments across the world amid the coronavirus pandemic. Kom had returned from Italy and Jordan on March 13 and was supposed to be in self-isolation. However, she attended breakfast hosted by President Ram Nath Kovind on March 18.",back italy jordan boxer mary kom breaks quarantine protocol boxer mary kom break day quarantine protocol put place world health organization government across world amid coronavirus pandemic kom return italy jordan march suppose self isolation however attend breakfast host president ram nath kovind march
Former Scotland cricketer Majid Haq tests positive for coronavirus,"Ex-Scotland off-spinner Majid Haq has revealed he is recovering after testing positive for coronavirus. The 37-year-old took to Twitter to reveal that he was being treated at Royal Alexandra Hospital in the Paisley area of Glasgow. ""Thank you to everyone who has sent me messages of support. Insha Allah the Panther will be back to full health soon,"" he wrote.",sports,"Former Scotland cricketer Majid Haq tests positive for coronavirus. Ex-Scotland off-spinner Majid Haq has revealed he is recovering after testing positive for coronavirus. The 37-year-old took to Twitter to reveal that he was being treated at Royal Alexandra Hospital in the Paisley area of Glasgow. ""Thank you to everyone who has sent me messages of support. Insha Allah the Panther will be back to full health soon,"" he wrote.",former scotland cricketer majid haq test positive coronavirus ex scotland spinner majid haq reveal recover test positive coronavirus year old take twitter reveal treat royal alexandra hospital paisley area glasgow thank everyone send message support insha allah panther back full health soon write
I forgot the most basic aspect of cricket: McCullum on 2015 World Cup final loss,"Recalling the 2015 World Cup final defeat against Australia, then New Zealand captain Brendon McCullum said, ""You can't have regrets."" ""I was super excited...not nervous at all. The thing I forgot...was to watch the ball!"" he said. He added, ""I'd done everything...to be able to live that dream but...in that moment I just forgot the most basic aspect of cricket."" ",sports,"I forgot the most basic aspect of cricket: McCullum on 2015 World Cup final loss. Recalling the 2015 World Cup final defeat against Australia, then New Zealand captain Brendon McCullum said, ""You can't have regrets."" ""I was super excited...not nervous at all. The thing I forgot...was to watch the ball!"" he said. He added, ""I'd done everything...to be able to live that dream but...in that moment I just forgot the most basic aspect of cricket."" ",forget basic aspect cricket mccullum world cup final loss recall world cup final defeat australia new zealand captain brendon mccullum say not regret super excited not nervous thing forget watch ball say add would everything able live dream moment forget basic aspect cricket
Javelin thrower Neeraj Chopra in self-quarantine after return from Turkey,"The Commonwealth Games and Asian Games gold medallist Javelin thrower Neeraj Chopra has been ordered by Sports Authority of India to remain self-quarantined over coronavirus. Neeraj, who has qualified for the Tokyo Olympics, returned to India on Wednesday after a training stint in Turkey. More than 350 cases of coronavirus have been reported in Turkey so far.",sports,"Javelin thrower Neeraj Chopra in self-quarantine after return from Turkey. The Commonwealth Games and Asian Games gold medallist Javelin thrower Neeraj Chopra has been ordered by Sports Authority of India to remain self-quarantined over coronavirus. Neeraj, who has qualified for the Tokyo Olympics, returned to India on Wednesday after a training stint in Turkey. More than 350 cases of coronavirus have been reported in Turkey so far.",javelin thrower neeraj chopra self quarantine return turkey commonwealth game asian games gold medallist javelin thrower neeraj chopra order sport authority india remain self quarantine coronavirus neeraj qualify tokyo olympics return india wednesday training stint turkey case coronavirus report turkey far
Umar Akmal charged by PCB for breaching Anti-Corruption Code,"Pakistan batsman Umar Akmal has been charged by the PCB for two breaches of Anti-Corruption Code in two different incidents related to failing to report spot-fixing approaches. Earlier in February, he was suspended from any cricket-related activities pending an investigation. If found guilty, Akmal, who has played 121 ODIs and 84 T20Is, could face a lifetime ban.",sports,"Umar Akmal charged by PCB for breaching Anti-Corruption Code. Pakistan batsman Umar Akmal has been charged by the PCB for two breaches of Anti-Corruption Code in two different incidents related to failing to report spot-fixing approaches. Earlier in February, he was suspended from any cricket-related activities pending an investigation. If found guilty, Akmal, who has played 121 ODIs and 84 T20Is, could face a lifetime ban.",umar akmal charge pcb breach anti corruption code pakistan batsman umar akmal charge pcb two breach anti corruption code two different incident relate fail report spot fix approach earlier february suspend cricket relate activity pende investigation find guilty akmal play odi ti could face lifetime ban
